"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"6";"DEPUTADO FEDERAL";"FEDERAÇÃO";"50";"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";"3";"Federação PSOL REDE";"PSOL/REDE";"REDE / PSOL";"20001683443";"#NULO#";"PSOL/REDE";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"80";"UP";"UNIDADE POPULAR";"-1";"#NULO#";"#NULO#";"#NULO#";"20001683424";"#NULO#";"UP";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"3";"GOVERNADOR";"COLIGAÇÃO";"36";"AGIR";"AGIR";"-1";"#NULO#";"#NULO#";"#NULO#";"20001684640";"ALAGOAS VERDE E AMARELO";"PL / AGIR / PTB";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"44";"UNIÃO";"UNIÃO BRASIL";"-1";"#NULO#";"#NULO#";"#NULO#";"20001684599";"ALAGOAS MERECE MAIS";"UNIÃO / PSDB/CIDADANIA / PSB / PP";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"77";"SOLIDARIEDADE";"SOLIDARIEDADE";"-1";"#NULO#";"#NULO#";"#NULO#";"20001681295";"#NULO#";"SOLIDARIEDADE";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"10";"2º SUPLENTE";"COLIGAÇÃO";"20";"PSC";"PARTIDO SOCIAL CRISTÃO";"-1";"#NULO#";"#NULO#";"#NULO#";"20001684682";"ALAGOAS DAQUI PRA MELHOR";"MDB / PT/PC do B/PV / PSC / PODE / SOLIDARIEDADE / PDT";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"19";"PODE";"PODEMOS";"-1";"#NULO#";"#NULO#";"#NULO#";"20001684674";"ALAGOAS DAQUI PRA MELHOR";"MDB / PT/PC do B/PV / PDT / PSC / PODE / SOLIDARIEDADE";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"22";"PL";"PARTIDO LIBERAL";"-1";"#NULO#";"#NULO#";"#NULO#";"20001682209";"#NULO#";"PL";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"35";"PMB";"PARTIDO DA MULHER BRASILEIRA";"-1";"#NULO#";"#NULO#";"#NULO#";"20001685293";"#NULO#";"PMB";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"9";"1º SUPLENTE";"COLIGAÇÃO";"20";"PSC";"PARTIDO SOCIAL CRISTÃO";"-1";"#NULO#";"#NULO#";"#NULO#";"20001684682";"ALAGOAS DAQUI PRA MELHOR";"MDB / PT/PC do B/PV / PSC / PODE / SOLIDARIEDADE / PDT";"D";"DEFERIDO"
