"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGAÇÃO";"70";"AVANTE";"AVANTE";"-1";"#NULO#";"#NULO#";"#NULO#";"280001681359";"COLIGAÇÃO BRASIL DA ESPERANÇA";"PT/PC do B/PV / SOLIDARIEDADE / PSOL/REDE / PSB / AGIR / AVANTE / PROS";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"PARTIDO ISOLADO";"12";"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"-1";"#NULO#";"#NULO#";"#NULO#";"280001681612";"#NULO#";"PDT";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGAÇÃO";"50";"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";"3";"Federação PSOL REDE";"PSOL/REDE";"REDE / PSOL";"280001681359";"COLIGAÇÃO BRASIL DA ESPERANÇA";"PT/PC do B/PV / SOLIDARIEDADE / PSOL/REDE / PSB / AGIR / AVANTE / PROS";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGAÇÃO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"-1";"#NULO#";"#NULO#";"#NULO#";"280001681359";"COLIGAÇÃO BRASIL DA ESPERANÇA";"PT/PC do B/PV / SOLIDARIEDADE / PSOL/REDE / PSB / AGIR / AVANTE / PROS";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGAÇÃO";"22";"PL";"PARTIDO LIBERAL";"-1";"#NULO#";"#NULO#";"#NULO#";"280001682069";"Pelo bem do Brasil";"PP / REPUBLICANOS / PL";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGAÇÃO";"36";"AGIR";"AGIR";"-1";"#NULO#";"#NULO#";"#NULO#";"280001681359";"COLIGAÇÃO BRASIL DA ESPERANÇA";"PT/PC do B/PV / SOLIDARIEDADE / PSOL/REDE / PSB / AGIR / AVANTE / PROS";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGAÇÃO";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"280001682069";"Pelo bem do Brasil";"PP / REPUBLICANOS / PL";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"2";"VICE-PRESIDENTE";"COLIGAÇÃO";"23";"CIDADANIA";"CIDADANIA";"1";"Federação PSDB Cidadania";"PSDB/CIDADANIA";"CIDADANIA / PSDB";"280001681361";"Coligação Brasil para Todos";"MDB / PSDB/CIDADANIA / PODE";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"COLIGAÇÃO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"Federação PSDB Cidadania";"PSDB/CIDADANIA";"CIDADANIA / PSDB";"280001681361";"Coligação Brasil para Todos";"MDB / PSDB/CIDADANIA / PODE";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"544";"Eleição Geral Federal 2022";"02/10/2022";"BR";"BR";"BRASIL";"1";"PRESIDENTE";"PARTIDO ISOLADO";"16";"PSTU";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"-1";"#NULO#";"#NULO#";"#NULO#";"280001681360";"#NULO#";"PSTU";"D";"DEFERIDO"
