"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"9";"1º SUPLENTE";"COLIGAÇÃO";"10";"REPUBLICANOS";"REPUBLICANOS";"-1";"#NULO#";"#NULO#";"#NULO#";"90001683227";"ESTADO INTELIGENTE";"DC / PMB / REPUBLICANOS / PATRIOTA / AGIR / PMN";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"29";"PCO";"PARTIDO DA CAUSA OPERÁRIA";"-1";"#NULO#";"#NULO#";"#NULO#";"90001684614";"#NULO#";"PCO";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"6";"DEPUTADO FEDERAL";"PARTIDO ISOLADO";"90";"PROS";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"-1";"#NULO#";"#NULO#";"#NULO#";"90001685307";"#NULO#";"PROS";"IN";"INDEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"55";"PSD";"PARTIDO SOCIAL DEMOCRÁTICO";"-1";"#NULO#";"#NULO#";"#NULO#";"90001683181";"Pra Seguir em Frente";"MDB / UNIÃO / PODE / PTB / PSC / PSD / AVANTE / PRTB / PP / SOLIDARIEDADE / PROS / PDT";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"9";"1º SUPLENTE";"COLIGAÇÃO";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PT / PV / PC do B";"90001683264";"JUNTOS POR GOIÁS E PELO BRASIL";"PT/PC do B/PV / PSB";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"10";"2º SUPLENTE";"FEDERAÇÃO";"23";"CIDADANIA";"CIDADANIA";"1";"Federação PSDB Cidadania";"PSDB/CIDADANIA";"CIDADANIA / PSDB";"90001681764";"#NULO#";"PSDB/CIDADANIA";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"5";"SENADOR";"PARTIDO ISOLADO";"22";"PL";"PARTIDO LIBERAL";"-1";"#NULO#";"#NULO#";"#NULO#";"90001683374";"#NULO#";"PL";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"90001683181";"Pra Seguir em Frente";"MDB / UNIÃO / PODE / PTB / PSC / PSD / AVANTE / PRTB / PP / SOLIDARIEDADE / PROS / PDT";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"5";"SENADOR";"COLIGAÇÃO";"27";"DC";"DEMOCRACIA CRISTÃ";"-1";"#NULO#";"#NULO#";"#NULO#";"90001683227";"ESTADO INTELIGENTE";"DC / PMB / REPUBLICANOS / PATRIOTA / AGIR / PMN";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"GO";"GO";"GOIÁS";"7";"DEPUTADO ESTADUAL";"FEDERAÇÃO";"43";"PV";"PARTIDO VERDE";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PT / PV / PC do B";"90001683282";"#NULO#";"PT/PC do B/PV";"D";"DEFERIDO"
