"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"6";"DEPUTADO FEDERAL";"PARTIDO ISOLADO";"90";"PROS";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"-1";"#NULO#";"#NULO#";"#NULO#";"120001683266";"#NULO#";"PROS";"IN";"INDEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"9";"1º SUPLENTE";"FEDERAÇÃO";"13";"PT";"PARTIDO DOS TRABALHADORES";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PT / PV / PC do B";"120001683384";"#NULO#";"PT/PC do B/PV";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"9";"1º SUPLENTE";"COLIGAÇÃO";"51";"PATRIOTA";"PATRIOTA";"-1";"#NULO#";"#NULO#";"#NULO#";"120001683292";"COLIGAÇÃO MUDA MS";"PTB / PSC / PATRIOTA / PSD";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"6";"DEPUTADO FEDERAL";"PARTIDO ISOLADO";"55";"PSD";"PARTIDO SOCIAL DEMOCRÁTICO";"-1";"#NULO#";"#NULO#";"#NULO#";"120001683324";"#NULO#";"PSD";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"7";"DEPUTADO ESTADUAL";"FEDERAÇÃO";"50";"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";"3";"Federação PSOL REDE";"PSOL/REDE";"REDE / PSOL";"120001680944";"#NULO#";"PSOL/REDE";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"5";"SENADOR";"COLIGAÇÃO";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"120001683356";"COLIGAÇÃO TRABALHANDO POR UM NOVO FUTURO II";"PDT / PSDB/CIDADANIA / REPUBLICANOS / PL / PSB / PP";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"3";"GOVERNADOR";"COLIGAÇÃO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"Federação PSDB Cidadania";"PSDB/CIDADANIA";"CIDADANIA / PSDB";"120001682641";"COLIGAÇÃO TRABALHANDO POR UM NOVO FUTURO ";"PSDB/CIDADANIA / REPUBLICANOS / PP / PSB / PL / PDT";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"15";"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO";"-1";"#NULO#";"#NULO#";"#NULO#";"120001683048";"#NULO#";"MDB";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"55";"PSD";"PARTIDO SOCIAL DEMOCRÁTICO";"-1";"#NULO#";"#NULO#";"#NULO#";"120001683283";"COLIGAÇÃO MUDA MS";"PATRIOTA / PTB / PSC / PSD";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"-1";"#NULO#";"#NULO#";"#NULO#";"120001682641";"COLIGAÇÃO TRABALHANDO POR UM NOVO FUTURO ";"PSDB/CIDADANIA / REPUBLICANOS / PP / PSB / PL / PDT";"D";"DEFERIDO"
