"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"7";"DEPUTADO ESTADUAL";"FEDERAÇÃO";"43";"PV";"PARTIDO VERDE";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PT / PV / PC do B";"170001681413";"#NULO#";"PT/PC do B/PV";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"20";"PSC";"PARTIDO SOCIAL CRISTÃO";"-1";"#NULO#";"#NULO#";"#NULO#";"170001681227";"PERNAMBUCO COM FORÇA DE NOVO";"PODE / PSC / UNIÃO / PATRIOTA";"DR";"DEFERIDO COM RECURSO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"14";"PTB";"PARTIDO TRABALHISTA BRASILEIRO";"-1";"#NULO#";"#NULO#";"#NULO#";"170001682202";"#NULO#";"PTB";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"10";"REPUBLICANOS";"REPUBLICANOS";"-1";"#NULO#";"#NULO#";"#NULO#";"170001682074";"FRENTE POPULAR DE PERNAMBUCO";"PT/PC do B/PV / REPUBLICANOS / MDB / PDT / PP / PSB";"DR";"DEFERIDO COM RECURSO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"70";"AVANTE";"AVANTE";"-1";"#NULO#";"#NULO#";"#NULO#";"170001681520";"PERNAMBUCO NA VEIA";"SOLIDARIEDADE / PSD / AVANTE / AGIR / PMN";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"6";"DEPUTADO FEDERAL";"PARTIDO ISOLADO";"33";"PMN";"PARTIDO DA MOBILIZAÇÃO NACIONAL";"-1";"#NULO#";"#NULO#";"#NULO#";"170001685250";"#NULO#";"PMN";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"3";"GOVERNADOR";"COLIGAÇÃO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"-1";"#NULO#";"#NULO#";"#NULO#";"170001682074";"FRENTE POPULAR DE PERNAMBUCO";"PT/PC do B/PV / REPUBLICANOS / MDB / PDT / PP / PSB";"DR";"DEFERIDO COM RECURSO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"29";"PCO";"PARTIDO DA CAUSA OPERÁRIA";"-1";"#NULO#";"#NULO#";"#NULO#";"170001685221";"#NULO#";"PCO";"IR";"INDEFERIDO COM RECURSO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"28";"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"-1";"#NULO#";"#NULO#";"#NULO#";"170001685619";"Pernambuco Quer Mudar";"PSDB/CIDADANIA / PRTB";"D";"DEFERIDO"
"01/10/2022";"13:06:03";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PE";"PE";"PERNAMBUCO";"10";"2º SUPLENTE";"PARTIDO ISOLADO";"22";"PL";"PARTIDO LIBERAL";"-1";"#NULO#";"#NULO#";"#NULO#";"170001681224";"#NULO#";"PL";"D";"DEFERIDO"
